taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory
3083305	Eschweilera amazonica R.Knuth	3083305	Eschweilera amazonica R.Knuth	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Ericales	1353	Lecythidaceae	3990	Eschweilera	3083183	Eschweilera amazonica	3083305	LC
3085433	Cerastium arvense L.	3085433	Cerastium arvense L.	19	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Caryophyllales	422	Caryophyllaceae	2518	Cerastium	2873815	Cerastium arvense	3085433	LC
3172197	Alectra aspera (Cham. & Schltdl.) L.O.Williams	7652789	Melasma melampyroides (Rich.) Pennell ex Britton & Wilson	1	SPECIES	SYNONYM	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Lamiales	408	Orobanchaceae	6651	Melasma	3172031	Melasma melampyroides	7652789	NE
3649109	Sacoglottis amazonica Mart.	3649109	Sacoglottis amazonica Mart.	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Malpighiales	1414	Humiriaceae	3231239	Sacoglottis	7320134	Sacoglottis amazonica	3649109	LC
3660371	Ochoterenaea colombiana F.A.Barkley	3660371	Ochoterenaea colombiana F.A.Barkley	6	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Sapindales	933	Anacardiaceae	2398	Ochoterenaea	7321599	Ochoterenaea colombiana	3660371	LC
5274861	Salvinia auriculata Aubl.	5274861	Salvinia auriculata Aubl.	6	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Polypodiopsida	7228684	Salviniales	7229405	Salviniaceae	6629	Salvinia	7801597	Salvinia auriculata	5274861	LC
5282158	Dicranella hilariana Mitten, 1869	5282158	Dicranella hilariana Mitten, 1869	2	SPECIES	ACCEPTED	Plantae	6	Bryophyta	35	Bryopsida	327	Dicranales	1335	Dicranaceae	4635	Dicranella	2673509	Dicranella hilariana	5282158	NE
5355155	Machaerium arboreum (Jacq.) Vogel	5355155	Machaerium arboreum (Jacq.) Vogel	4	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Fabales	1370	Fabaceae	5386	Machaerium	2959589	Machaerium arboreum	5355155	LC
7262461	Brosimum acutifolium Huber	7262461	Brosimum acutifolium Huber	2	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Rosales	691	Moraceae	6640	Brosimum	2984656	Brosimum acutifolium	7262461	LC
7316769	Odontadenia nitida (M.Vahl) Müll.Arg.	7316769	Odontadenia nitida (M.Vahl) Müll.Arg.	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Gentianales	412	Apocynaceae	6701	Odontadenia	7316739	Odontadenia nitida	7316769	NE
7536050	Passiflora vespertilio L.	7536050	Passiflora vespertilio L.	2	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Malpighiales	1414	Passifloraceae	2378	Passiflora	2874172	Passiflora vespertilio	7536050	NE
8288718	Quiina macrophylla Tul.	8288718	Quiina macrophylla Tul.	7	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Malpighiales	1414	Quiinaceae	3986433	Quiina	7285768	Quiina macrophylla	8288718	LC
2915308	Retiniphyllum pauciflorum Kunth ex K.Krause	2915308	Retiniphyllum pauciflorum Kunth ex K.Krause	4	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Gentianales	412	Rubiaceae	8798	Retiniphyllum	2915277	Retiniphyllum pauciflorum	2915308	NE
3801334	Cestrum schlechtendalii G.Don	3801334	Cestrum schlechtendalii G.Don	7	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Solanales	1176	Solanaceae	7717	Cestrum	2928784	Cestrum schlechtendalii	3801334	LC
3812474	Cerastium danguyi J.F.Macbr.	3812474	Cerastium danguyi J.F.Macbr.	2	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Caryophyllales	422	Caryophyllaceae	2518	Cerastium	2873815	Cerastium danguyi	3812474	NE
3830518	Abuta grandifolia (C.Mart.) Sandwith	3830518	Abuta grandifolia (C.Mart.) Sandwith	21	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Ranunculales	399	Menispermaceae	2411	Abuta	7268654	Abuta grandifolia	3830518	LC
3868763	Miconia crassinervia Cogn.	3868763	Miconia crassinervia Cogn.	4	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Myrtales	690	Melastomataceae	6683	Miconia	3188558	Miconia crassinervia	3868763	NE
3985293	Hiraea apaporiensis Cuatrec.	3985293	Hiraea apaporiensis Cuatrec.	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Malpighiales	1414	Malpighiaceae	6676	Hiraea	3191288	Hiraea apaporiensis	3985293	NE
4073864	Pachira humilis Spruce ex Benth.	4073864	Pachira humilis Spruce ex Benth.	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Malvales	941	Malvaceae	6685	Pachira	3152234	Pachira humilis	4073864	NE
4167488	Thibaudia grantii A.C.Sm.	4167488	Thibaudia grantii A.C.Sm.	3	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Ericales	1353	Ericaceae	2505	Thibaudia	7327778	Thibaudia grantii	4167488	LC
5591316	Drymonia anisophylla L.E.Skog & L.P.Kvist	5591316	Drymonia anisophylla L.E.Skog & L.P.Kvist	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Lamiales	408	Gesneriaceae	6654	Drymonia	3233484	Drymonia anisophylla	5591316	NE
7639394	Psychotria officinalis Kuntze, 1891	7639394	Psychotria officinalis Kuntze, 1891	10	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Gentianales	412	Rubiaceae	8798	Psychotria	2919963	Psychotria officinalis	7639394	NE
7661791	Miconia punctata (Desr.) D.Don	7661791	Miconia punctata (Desr.) D.Don	16	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Myrtales	690	Melastomataceae	6683	Miconia	3188558	Miconia punctata	7661791	NE
7774941	Marcgraviastrum elegans de Roon & Bedell ex Gir.-Cañas & S.Dressler	7774941	Marcgraviastrum elegans de Roon & Bedell ex Gir.-Cañas & S.Dressler	2	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Ericales	1353	Marcgraviaceae	6643	Marcgraviastrum	7275888	Marcgraviastrum elegans	7774941	NE
2713662	Cyperus aggregatus (Willd.) Endl.	2713662	Cyperus aggregatus (Willd.) Endl.	8	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Liliopsida	196	Poales	1369	Cyperaceae	7708	Cyperus	2713455	Cyperus aggregatus	2713662	NE
2761987	Calathea lutea (Aubl.) E.Mey. ex Schult.	2761987	Calathea lutea (Aubl.) E.Mey. ex Schult.	6	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Liliopsida	196	Zingiberales	627	Marantaceae	8784	Calathea	8394666	Calathea lutea	2761987	NE
2889987	Geranium holosericeum Willd. ex Spreng.	2889987	Geranium holosericeum Willd. ex Spreng.	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Geraniales	624	Geraniaceae	4676	Geranium	2889949	Geranium holosericeum	2889987	NE
2906875	Coccocypselum hirsutum Bartl. ex DC.	2906875	Coccocypselum hirsutum Bartl. ex DC.	7	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Gentianales	412	Rubiaceae	8798	Coccocypselum	2906871	Coccocypselum hirsutum	2906875	NE
2909624	Remijia trianae Wernham	2909624	Remijia trianae Wernham	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Gentianales	412	Rubiaceae	8798	Remijia	2909612	Remijia trianae	2909624	NE
3060477	Croton pungens Jacq.	3060477	Croton pungens Jacq.	2	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Malpighiales	1414	Euphorbiaceae	4691	Croton	3057454	Croton pungens	3060477	LC
3177632	Calycolpus calophyllus (Kunth) O.Berg	3177632	Calycolpus calophyllus (Kunth) O.Berg	15	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Myrtales	690	Myrtaceae	5014	Calycolpus	3177606	Calycolpus calophyllus	3177632	LC
3857680	Tococa nitens (Benth.) Triana	3859729	Miconia nitens Benth.	3	SPECIES	SYNONYM	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Myrtales	690	Melastomataceae	6683	Miconia	3188558	Miconia nitens	3859729	NE
3858433	Tococa cinnamomea Triana	10733430	Miconia tococinnamomea Michelang.	1	SPECIES	SYNONYM	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Myrtales	690	Melastomataceae	6683	Miconia	3188558	Miconia tococinnamomea	10733430	NE
3860453	Miconia mollicula Triana	3860453	Miconia mollicula Triana	2	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Myrtales	690	Melastomataceae	6683	Miconia	3188558	Miconia mollicula	3860453	NE
3860932	Miconia aeruginosa Naudin	3860932	Miconia aeruginosa Naudin	4	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Myrtales	690	Melastomataceae	6683	Miconia	3188558	Miconia aeruginosa	3860932	LC
